No,Hari/Tanggal,Uraian Kegiatan,Uang Masuk,Uang Keluar,Uraian Uang Keluar,Saldo
1,2026-06-01,Saldo Awal Bulan Juni,5000000,0,-,5000000
2,2026-06-05,Kotak Amal Jumat,1250000,0,-,6250000
